,frame,x [nm],y [nm],Photon #,Sigma [nm]
400,4.0,2232.57,11634.67,478,116.99
401,4.0,2608.41,54148.25,871,110.85
402,4.0,3086.35,33087.59,403,126.36
403,4.0,3327.84,20016.68,132,97.28
404,4.0,3558.77,3517.48,720,132.35
405,4.0,3691.39,36922.48,1173,124.25
406,4.0,3833.4,32104.93,423,100.39
407,4.0,4828.81,42527.84,160,102.11
408,4.0,5143.51,3020.35,960,142.61
409,4.0,5985.8,32759.07,170,97.31
410,4.0,6278.29,6951.34,275,147.83
411,4.0,6387.87,30233.52,299,105.02
412,4.0,7103.38,40351.9,969,123.98
413,4.0,7182.58,20414.74,253,103.57
414,4.0,7276.39,27448.16,238,108.01
415,4.0,7494.36,50583.69,606,120.64
416,4.0,7734.77,45118.44,276,121.33
417,4.0,8037.34,16403.13,1989,132.06
418,4.0,8056.88,44649.41,383,120.79
419,4.0,8069.78,33583.88,526,132.69
420,4.0,8227.64,18321.3,433,115.19
421,4.0,8375.3,49460.18,294,97.14
422,4.0,8631.89,15301.13,553,125.47
423,4.0,8881.15,51848.32,265,92.74
424,4.0,10139.29,33383.85,716,132.51
425,4.0,11555.67,34728.8,1421,120.58
426,4.0,11717.61,12053.08,172,108.41
427,4.0,12576.0,15543.16,1133,133.08
428,4.0,12591.99,48737.61,1118,119.37
429,4.0,13316.38,36507.55,678,122.47
430,4.0,13685.17,48360.45,536,105.12
431,4.0,13741.28,36158.94,1032,112.14
432,4.0,13850.43,49664.37,730,115.82
433,4.0,14204.46,20748.97,790,133.16
434,4.0,14302.52,35266.48,328,123.89
435,4.0,14988.87,50206.98,303,120.66
436,4.0,15775.9,44156.41,763,116.1
437,4.0,15929.79,22805.15,218,142.33
438,4.0,16662.94,31099.79,151,98.57
439,4.0,17981.38,52504.68,756,118.88
440,4.0,18036.2,45210.89,350,97.78
441,4.0,18292.36,33485.13,939,129.38
442,4.0,19072.0,51093.34,274,117.47
443,4.0,19450.08,52196.66,222,95.55
444,4.0,20054.4,16012.56,605,113.92
445,4.0,20711.09,10893.61,244,149.51
446,4.0,20875.01,33505.44,2085,119.29
447,4.0,20996.79,43608.42,170,88.68
448,4.0,21651.51,50461.63,173,112.89
449,4.0,22026.79,3398.49,1732,125.13
450,4.0,22236.38,47318.89,1462,123.71
451,4.0,22637.82,42448.55,241,140.57
452,4.0,23018.53,34817.69,2598,129.74
453,4.0,23057.31,45503.56,209,128.46
454,4.0,23121.31,37152.64,217,105.1
455,4.0,23909.3,15049.3,2203,124.89
456,4.0,24336.32,3824.95,336,122.96
457,4.0,24354.92,31307.52,325,133.88
458,4.0,24465.14,40170.32,1863,120.96
459,4.0,24584.42,44022.12,927,133.61
460,4.0,24701.46,53437.66,210,130.04
461,4.0,24748.71,39480.78,125,78.47
462,4.0,24864.45,7984.69,2244,135.72
463,4.0,25229.89,22028.41,1458,128.41
464,4.0,25691.36,6527.36,1849,137.98
465,4.0,25730.39,35278.81,178,101.78
466,4.0,26596.16,21994.03,381,145.54
467,4.0,27454.42,40297.49,186,98.76
468,4.0,28220.04,25408.42,382,126.06
469,4.0,28586.71,48016.2,414,115.13
470,4.0,28868.25,48973.28,292,116.5
471,4.0,28893.08,39624.5,999,130.44
472,4.0,29075.4,47683.57,229,137.91
473,4.0,29129.28,50641.86,98,80.22
474,4.0,29892.36,45525.08,515,140.78
475,4.0,30673.57,24135.83,241,122.61
476,4.0,30787.64,30593.24,3430,130.69
477,4.0,30951.36,18856.79,750,135.41
478,4.0,31458.71,49621.84,1057,119.35
479,4.0,31722.15,12092.49,304,129.56
480,4.0,32012.25,1989.21,2011,132.11
481,4.0,32912.14,28289.97,340,154.64
482,4.0,34532.0,38450.79,596,135.35
483,4.0,35166.27,31641.08,159,87.63
484,4.0,36484.26,14774.07,539,142.77
485,4.0,36686.0,52199.96,308,122.36
486,4.0,37358.11,53437.62,157,87.62
487,4.0,37657.8,51150.53,755,124.07
488,4.0,37882.27,40840.84,718,130.32
489,4.0,38382.42,22730.57,1337,121.07
490,4.0,38472.44,53591.27,740,115.96
491,4.0,38688.53,38634.73,1604,133.87
